JN,PICKUP,1,2,3,4,5,6,7,8,9,0,JR6,JD1
1980-1,,JM1HQE,JF2QXA,JG3UMQ,JR4LKJ,JH5IXB,JE6LUQ,JR7OZX,JH8SKT,JH9BDM,JH0PEM,JR6UMZ,
1980-2,,JM1HQE,JF2RVV,JG3VKN,JR4LRL,JH5JJX,JE6MDJ,JR7OZX,JH8SRP,JH9BFY,JH0PKQ,JR6UPU,
1980-3,,JM1KEL,JF2SVV,JG3WWA,JR4LRL,JH5JTD,JE6MQJ,JR7QEZ,JH8SXJ,JH9BJS,JH0PVP,JR6UJY,
1980-4,,JM1LZK,JF2UQY,JG3XTF,JR4MUF,JH5JYQ,JE6NKA,JR7QMZ,JH8TKJ,JH9BJS,JH0PYC,JR6URF,
1980-5,,JM1NVF,JF2VDA,JI3AZX,JR4MUF,JH5JYQ,JE6OKV,JR7SPC,JH8UIZ,JH9BJS,JH0QCL,JR6UUV,
1980-6,,JM1RDU,JF2VTJ,JI3AZX,JR4OMD,JA5SQP,JE6PZM,JR7QEZ,JH8UXD,JH9CJZ,JH0RBK,JR6UUV,
1980-7,,JM1RUW,JF2UTJ,JI3AZX,JR4OAQ,JH5KWO,JE6PJA,JR7SUS,JH8VDB,JH9CJZ,JH0RBK,JR6UUV,
1980-8,,JM1RUW,JF2XYH,JI3DRS,JR4OTT,JH5LDB,JE6QYM,JR7TWG,JH8VGN,JH9COV,JH0RHA,JR6UUV,
1980-9,,JM1SYI,JF2XYH,JI3FAL,JR4OTT,JH5LKR,JE6RDY,JR7UAI,JH8VRI,JH9CTG,JH0RNJ,JR6UUV,
1980-10,,JM1VCF,JG2BBH,JI3FLH,JR4PEB,JH5LKR,JE6RZR,JR7URM,JH8VRI,JH9CVE,JH0RRB,JR6UUV,
1980-11,,JN1GKP,JG2BGP,JI3GUH,JR4QKI,JH5LXP,JE6SFH,JR7VGC,JH8WJK,JH9DHR,JH0SIA,JR6UUV,
1980-12,,JN1FBY,JG2EAC,JI3HLC,JR4QKI,JH5LXP,JE6TSE,JR7VQR,JH8WJK,JH9DOR,JH0AQH,JR6UUV,
1981-1,,JN1HGT,JG2EAG,JI3ILT,JR4QKI,JH5MSF,JE6UCL,JR7VQR,JH8XNO,JH9DOR,JH0SYQ,JR6VJK,
1981-2,,JN1ILU,JG2FVK,JI3LWW,JR4RSE,JH5NMA,JE6UYT,JR7XJT,JR8AFC,JH9EAC,JH0TGT,JR6VJK,
1981-3,,JN1KDJ,JG2HQN,JI3MOU,JR4SRL,JH5NMA,JE6VPT,JR7XHM,JR8AHJ,JH9EFF,JH0TNH,JR6VJK,
1981-4,,JN1KDJ,JG2INN,JI3NPC,JR4SRL,JH5NRL,JE6WBA,JE7ADJ,JR8APG,JH9EFF,JH0TQV,JR6VJK,
1981-5,,JN1PQW,JG2IRL,JI3NVQ,JR4ULE,JH5OAL,JE6XHI,JE7ATZ,JR8BEA,JH9ESP,JH0URU,JR6VJK,
1981-7,,JN1SPD,JG2IRL,JI3RFG,JR4UTY,JH5OWK,JF6AWQ,JE7EMY,JR8CVN,JH9FED,JH0VFR,JR6VRT,
1981-8,,JN1SYD,JG2NEA,JI3STL,JR4VPL,JH5PHG,JF6BHT,JE7FCG,JR8DBL,JH9FGD,JH0VKR,JR6VRT,
1981-10,,JO1ACZ,JG2NTW,JI3STL,JR4VPL,JH5PHG,JF6CLZ,JE7GQD,JR8DGZ,JH9FNY,JH0VRG,JR6VRT,
1981-11,,JO1BUJ,JG2OWW,JI3STL,JR4VPY,JH5PWV,JF6CSL,JE7HTK,JR8DTS,JH9FQC,JH0VUA,JR6VRT,
1981-12,,JO1DGF,JG2OLP,JI3STL,JR4VPL,JH5PWV,JF6CXD,JE7ITW,JR8ENJ,JH9FSK,JH0WCT,JR6VRT,
1982-1,,JO1FNF,JG2OLP,JJ3BNX,JR4XNZ,JH5PWV,JF6FCV,JE7JAS,JR8FQZ,JH9GIM,JH0WPP,JR6VRT,
1982-2,,JO1GDT,JG2RKY,JJ3DHK,JE4AVA,JH5SAZ,JF6GDO,JE7KHE,JR8GER,JH9GMH,JH0WVY,JR6VRT,
1982-5,,JO1NRV,JG2USY,JJ3IFT,JE4DOT,JH5SZY,JF6JQH,JE7MQY,JR8HXZ,JH9HIX,JR0ASS,JR6VRT,
1982-6,,JO1QNG,JG2VTL,JJ3IFT,JE4EDZ,JH5TTV,JF6JQH,JE7NZB,JR8IIL,JH9HUS,JR0BJB,JR6VRT,
1982-7,,JO1TGQ,JG2VTL,JJ3LCG,JE4ETE,JH5TTV,JF6LIP,JE7ODZ,JR8IIL,JH9HUS,JR0BJB,JR6VRT,
1982-8,,JO1UTX,JI2BER,JJ3LCG,JE4EZK,JH5TTV,JF6LYN,JE7OWH,JR8JRL,JH9HRI,JR0CCY,JR6WOH,
